"âªäwÇ∆çHã∆2000, 4",,
Number,Atom,Mole_w
1,H,1.00795
2,He,4.0026
3,Li,6.9412
4,Be,9.01218
5,B,10.8117
6,C,12.01078
7,N,14.00672
8,O,15.99943
9,F,18.9984
10,Ne,20.17976
11,Na,22.98977
12,Mg,24.30506
13,Al,26.98154
14,Si,28.08553
15,P,30.97376
16,S,32.0655
17,Cl,35.4532
18,Ar,39.9481
19,K,39.09831
20,Ca,40.0784
21,Sc,44.95591
22,Ti,47.8671
23,V,50.94151
24,Cr,51.99616
25,Mn,54.93805
26,Fe,55.8452
27,Co,58.9332
28,Ni,58.69342
29,Cu,63.5463
30,Zn,65.392
31,Ga,69.7231
32,Ge,72.641
33,As,74.9216
34,Se,78.963
35,Br,79.9041
36,Kr,83.801
37,Rb,85.46783
38,Sr,87.621
39,Y,88.90585
40,Zr,91.2242
41,Nb,92.90638
42,Mo,95.941
43,Tc,98
44,Ru,101.072
45,Rh,102.9055
46,Pd,106.421
47,Ag,107.86822
48,Cd,112.4118
49,In,114.8183
50,Sn,118.7107
51,Sb,121.7601
52,Te,127.603
53,I,126.90447
54,Xe,131.2936
55,Cs,132.90545
56,Ba,137.3277
57,La,138.90552
58,Ce,140.1161
59,Pr,140.90765
60,Nd,144.243
61,Pm,145
62,Sm,150.363
63,Eu,151.9641
64,Gd,157.253
65,Tb,158.92534
66,Dy,162.503
67,Ho,164.93032
68,Er,167.2593
69,Tm,168.93421
70,Yb,173.043
71,Lu,174.9671
72,Hf,178.492
73,Ta,180.94791
74,W,183.841
75,Re,186.2071
76,Os,190.233
77,Ir,192.2173
78,Pt,195.0782
79,Au,196.96655
80,Hg,200.592
81,Tl,204.38332
82,Pb,207.21
83,Bi,208.98038
